Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
77,20,84.79,Yanaloma IV,,$5.00/lb,"$7,936.64","UCC Ueshima Coffee Co., Ltd.",Roberto Mendoza Ayaviri,1500,Bolivia,2008,"Colonia Yanaloma, Aten County",Province of Franz Tamayo,,,,"Centralized processing, selective harvest of ripe cherries, fermentation, washing with clean spring, ",Arabica,64.5,150.0,Bolivia
78,21,84.79,Cima del Jaguar B,,$5.05/lb,"$14,696.01","Nippon Coffee Trading Co.,Ltd for Doi Coffee",Eulogio Luque Yana,1605,Bolivia,2008,"Tercera Kantutani, Rosario de Entre Rios County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 65% Criollo 35% ,2.0,12.0,Bolivia
79,22,84.79,Alan Coffe (YTC),,$4.70/lb,"$9,325.55","Wataru & Co., Ltd.",Luis Yujra Arismende,-1,Bolivia,2008,Not Available,Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",,-1.0,-1.0,Bolivia
80,23,84.65,Café Maria Elena,,$5.05/lb,"$10,688.01",Kyokuto Fadie Corporation,Fermin Cabrera Poma,1433,Bolivia,2008,"Colonia Alto Ascensión Segunda, Rosario Entre Rios County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 50% Criollo 50% ,5.0,6.5,Bolivia
81,24,84.59,Café Ocho,,$3.88/lb,"$9,238.25",Katocoffee Inc.,Eusebio Marca Cruz,1680,Bolivia,2008,"Colonia Ocho de Septiembre, Chijchipani County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Typica 20% Caturra 80% ,2.0,9.0,Bolivia
82,25,84.56,Zona 8 Villa Oriente,,$4.10/lb,"$6,508.05","World Coffee Co.,Ltd.",Alberto Catunta Quispe,1510,Bolivia,2008,"Colonia 8 de Septiembre, Rosario de Entre Rios County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 50% Criollo 50% ,4.0,10.0,Bolivia
83,26,84.53,Los Trios,,$5.05/lb,"$8,016.01","Wataru & Co., Ltd.",David Yanahuaya Quispe,1677,Bolivia,2008,"Colonia Flor de Mayo, Taipyplaya County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Typica,4.0,8.0,Bolivia
84,27,84.47,Café David,,$4.05/lb,"$6,964.40","Mercanta The Coffee Hunters for Has Bean Coffee UK, Fresh Coffee Lithuania and Inoue Coffee Japan",Santiago Mamani Mamani,1530,Bolivia,2008,"Colonia Chojñapampa, Carrasco La Reserva County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 50% Criollo 50% ,4.0,6.0,Bolivia
85,28,84.35,AIPEAD I,,$3.88/lb,"$9,238.25",Katocoffee Inc.,Julian Chambi Apaza,1676,Bolivia,2008,"Colonia Amor de Dios, Taipyplaya County",Province of Caranavi,,,,"Centralized processing, selective harvest of ripe cherries, fermentation, washing with clean spring, ",Typica 70% Catimor 30% ,-1.0,10.0,Bolivia
86,29,84.06,Café Jasmin,,$3.90/lb,"$7,738.23","Wataru & Co., Ltd.",Eduardo Tola Condori,1500,Bolivia,2008,"Colonia Uchumachi, Carrasco La Reserva County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 50% Criollo 50% ,9.0,9.0,Bolivia
