,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
142,19,Costa Rica,2018,88.35,Las Nubes – Roger Ureña Hidalgo,13.0,15046.59,"Linking Coffee Co., Ltd.",Roger Ureña Hidalgo,2000.0,Santa Mara de Dota,Santa Mara de Dota,honey,0,1,0,0,0,0,0,0,2,2,0,4,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,20,Costa Rica,2018,88.35,Finca Altamira – Hernàndez y Gàlvez S.A.,10.5,11111.31,Campos Coffee,Hernàndez y Gàlvez S.A.,1480.0,"Barva,",San Pablo Buena Vista,natural,0,1,0,0,1,0,0,0,2,0,0,7,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
144,21,Costa Rica,2018,88.29,La Laguna – Jorge Mario Araya Mora,8.5,8994.87,"GSC International Co., Ltd.",Jorge Mario Araya Mora,1800.0,"Cantn Tarraz,",distrito San Marcos.,honey,0,0,0,0,0,0,0,0,0,2,0,8,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,22,Costa Rica,2018,88.21,Finca Bellavista – Josue Bonilla Solis,8.0,8465.76,"Wataru & Co., Ltd",Josue Bonilla Solis,1600.0,Leon Cortes Llano Bonito,Leon Cortes Llano Bonito,honey,0,1,0,0,0,0,0,0,1,0,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,23,Costa Rica,2018,88.18,Sin Límites – Maribel Barrantes Zúñiga,9.01,9534.56,"Wataru & Co., Ltd",Maribel Barrantes Zúñiga,1250.0,Lourdes de Cirri de Naranjo,Lourdes de Cirri de Naranjo,honey,0,0,0,0,1,1,0,0,1,2,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,24,Costa Rica,2018,88.15,El Beneficio – Juan Ramon Alvarado Rodriguez,13.1,13862.68,M.I. COFFEE CORPORATION,Juan Ramon Alvarado Rodriguez,1600.0,"Heredia,",San Isidro San Francisco,natural,0,1,0,0,0,0,0,1,1,4,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
148,25,Costa Rica,2018,87.94,Finca-El-Llano – Hector Bonilla Cruz,8.1,8571.58,"Wataru & Co., Ltd",Hector Bonilla Cruz,1900.0,Leon Cortes Llano Bonito,Leon Cortes Llano Bonito,honey,0,0,0,0,0,0,0,0,4,4,0,7,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149,26,Costa Rica,2018,87.91,Cuadro El Rio – Teneria Pirro Antonio Gomez Ltda,22.0,23280.84,Caffeine Lab,Teneria Pirro Antonio Gomez Ltda,1600.0,"Heredia,","San Rafael, Getsemani",natural,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
150,27,Costa Rica,2018,87.88,Doña Clemencia – Beneficio Brumas Del Zurqui S.A,11.3,11957.89,Fisher Coffee / Joker Coffee / Latorre & Dutch Coffee,Beneficio Brumas Del Zurqui S.A,1550.0,"Heredia,",San Isidro San Francisco,natural,0,1,0,0,1,1,0,0,1,1,1,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
151,28,Costa Rica,2018,87.82,El Alto – Luis Enrique Navarro Porras,11.2,11852.06,Kyokuto Fadie Corporation,Luis Enrique Navarro Porras,1750.0,"Aserri,","la Legua, Parritilla",washed,0,0,0,1,0,1,0,0,1,1,1,7,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152,29,Costa Rica,2018,87.82,Dragon – Luis Alberto Monge Ureña,9.61,14618.64,Coffee Libre,Luis Alberto Monge Ureña ,1500.0,La Bandera de Dota,La Bandera de Dota,washed,0,1,0,0,0,1,0,0,1,1,0,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,30,Costa Rica,2018,87.59,Juanachute Punta – Luis Anastasio Castro Vargas,7.9,8621.19,Honu Kato Coffee Inc.,Luis Anastasio Castro Vargas,1700.0,"Len Cortes, San Pablo",San Pablo,honey,0,0,0,1,0,0,0,0,2,0,1,4,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
154,31,Costa Rica,2018,87.5,Finca Las Nubes – Luis Pablo Bonilla Solis,8.0,8465.76,"Wataru & Co., Ltd",Luis Pablo Bonilla Solis,1650.0,Leon Cortes Llano Bonito,Leon Cortes Llano Bonito,honey,0,1,0,0,1,0,0,0,2,1,0,5,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
155,32,Costa Rica,2018,87.38,Sol Naciente – Luis Arturo Bonilla Chacón,8.0,8465.76,Kyokuto Fadie Corporation,Luis Arturo Bonilla Chacón,1650.0,Santa Mara de Dota,Santa Mara de Dota,washed,1,0,0,0,0,0,0,1,2,3,1,5,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
156,33,Costa Rica,2018,87.26,Lorena – Manuel Antonio Barrantes Zuñiga,9.2,6997.43,Caffeine Lab,Manuel Antonio Barrantes Zuñiga,1400.0,"Naranjo,","Cirri, Lordes",honey,0,0,0,0,0,0,0,0,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
157,34,Costa Rica,2018,87.0,Finca Los Tucanes – Maria Auxiliadora Bonilla Solis,10.5,11111.31,"ying fung international co., ltd.",Maria Auxiliadora Bonilla Solis,1850.0,Leon Cortes Llano Bonito,Leon Cortes Llano Bonito,honey,0,1,0,0,0,0,1,1,4,2,0,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
